127.0.0.1 - - [26/Mar/2022:17:43:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:14 +0900] "GET /board_mvc/app/member/login.jsp HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:15 +0900] "GET /board_mvc/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:15 +0900] "GET /board_mvc/images/login01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:15 +0900] "GET /board_mvc/assets/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:15 +0900] "GET /board_mvc/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:15 +0900] "GET /board_mvc/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:15 +0900] "GET /board_mvc/assets/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:15 +0900] "GET /board_mvc/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:15 +0900] "GET /board_mvc/app/member/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:15 +0900] "GET /board_mvc/images/login02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:15 +0900] "GET /board_mvc/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:15 +0900] "GET /board_mvc/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:18 +0900] "GET /board_mvc/member/MemberJoin.me HTTP/1.1" 200 7333
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:18 +0900] "GET /board_mvc/images/join01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:18 +0900] "GET /board_mvc/images/ex01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:18 +0900] "GET /board_mvc/images/ex03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:18 +0900] "GET /board_mvc/images/ex02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:18 +0900] "GET /board_mvc/app/member/join.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:17:43:21 +0900] "GET /board_mvc/member/MemberLogin.me HTTP/1.1" 200 3048
