127.0.0.1 - - [17/May/2022:17:35:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:42 +0900] "GET /board_mvc/app/member/join.js HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:54 +0900] "GET /board_mvc/app/member/join.jsp HTTP/1.1" 200 7333
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:54 +0900] "GET /board_mvc/images/join01.png HTTP/1.1" 200 310584
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:54 +0900] "GET /board_mvc/assets/css/main.css HTTP/1.1" 200 131286
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:54 +0900] "GET /board_mvc/assets/js/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:54 +0900] "GET /board_mvc/assets/js/browser.min.js HTTP/1.1" 200 1851
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:54 +0900] "GET /board_mvc/assets/js/breakpoints.min.js HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:54 +0900] "GET /board_mvc/assets/css/fontawesome-all.min.css HTTP/1.1" 200 56251
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:54 +0900] "GET /board_mvc/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:54 +0900] "GET /board_mvc/assets/js/main.js HTTP/1.1" 200 6373
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:54 +0900] "GET /board_mvc/images/ex01.png HTTP/1.1" 200 77300
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:54 +0900] "GET /board_mvc/images/ex02.png HTTP/1.1" 200 681100
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:54 +0900] "GET /board_mvc/images/ex03.png HTTP/1.1" 200 650541
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:55 +0900] "GET /board_mvc/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75440
0:0:0:0:0:0:0:1 - - [17/May/2022:17:35:59 +0900] "GET /board_mvc/member/MemberCheckIdOk.me?memberId=hds1 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [17/May/2022:17:37:04 +0900] "GET /board_mvc/member/MemberLogin.me HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [17/May/2022:17:37:04 +0900] "GET /board_mvc/images/login01.png HTTP/1.1" 200 197109
0:0:0:0:0:0:0:1 - - [17/May/2022:17:37:04 +0900] "GET /board_mvc/images/login02.png HTTP/1.1" 200 1258301
0:0:0:0:0:0:0:1 - - [17/May/2022:17:37:04 +0900] "GET /board_mvc/app/member/login.js HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [17/May/2022:17:37:11 +0900] "GET /board_mvc/member/index.html HTTP/1.1" 404 842
